Character,Simulation,Avg_Steps,Total_Dead,Total_Cured,Total_Infected,Dead_1,Cured_1,Infected_1,Dead_2,Cured_2,Infected_2,Dead_3,Cured_3,Infected_3,Dead_4,Cured_4,Infected_4,Dead_5,Cured_5,Infected_5,Dead_6,Cured_6,Infected_6,Dead_7,Cured_7,Infected_7,Dead_8,Cured_8,Infected_8,Dead_9,Cured_9,Infected_9,Dead_10,Cured_10,Infected_10,Dead_11,Cured_11,Infected_11,Dead_12,Cured_12,Infected_12,Dead_13,Cured_13,Infected_13,Dead_14,Cured_14,Infected_14,Dead_15,Cured_15,Infected_15,Dead_16,Cured_16,Infected_16,Dead_17,Cured_17,Infected_17,Dead_18,Cured_18,Infected_18,Dead_19,Cured_19,Infected_19,Dead_20,Cured_20,Infected_20,Dead_21,Cured_21,Infected_21,Dead_22,Cured_22,Infected_22,Dead_23,Cured_23,Infected_23,Dead_24,Cured_24,Infected_24,Dead_25,Cured_25,Infected_25,Dead_26,Cured_26,Infected_26,Dead_27,Cured_27,Infected_27,Dead_28,Cured_28,Infected_28,Dead_29,Cured_29,Infected_29,Dead_30,Cured_30,Infected_30,Dead_31,Cured_31,Infected_31,Dead_32,Cured_32,Infected_32,Dead_33,Cured_33,Infected_33,Dead_34,Cured_34,Infected_34,Dead_35,Cured_35,Infected_35,Dead_36,Cured_36,Infected_36,Dead_37,Cured_37,Infected_37,Dead_38,Cured_38,Infected_38,Dead_39,Cured_39,Infected_39,Dead_40,Cured_40,Infected_40,Dead_41,Cured_41,Infected_41,Dead_42,Cured_42,Infected_42,Dead_43,Cured_43,Infected_43,Dead_44,Cured_44,Infected_44,Dead_45,Cured_45,Infected_45,Dead_46,Cured_46,Infected_46,Dead_47,Cured_47,Infected_47,Dead_48,Cured_48,Infected_48,Dead_49,Cured_49,Infected_49,Dead_50,Cured_50,Infected_50,Dead_51,Cured_51,Infected_51,Etichetta,Dead_52,Cured_52,Infected_52,Dead_53,Cured_53,Infected_53,Dead_54,Cured_54,Infected_54,Dead_55,Cured_55,Infected_55,Dead_56,Cured_56,Infected_56,Dead_57,Cured_57,Infected_57
Bedwyck,1,26,32,650,863,0,0,1,0,0,2,0,0,8,0,0,46,0.0,0.0,163.0,0.0,3.0,343.0,0.0,17.0,484.0,2.0,66.0,509.0,5.0,154.0,468.0,8.0,264.0,380.0,11.0,367.0,287.0,18.0,439.0,211.0,22.0,492.0,160.0,23.0,538.0,117.0,25.0,571.0,85.0,29.0,597.0,56.0,29.0,613.0,40.0,29.0,627.0,26.0,29.0,635.0,18.0,29.0,643.0,10.0,30.0,645.0,7.0,30.0,646.0,6.0,32.0,648.0,2.0,32.0,649.0,1.0,32.0,649.0,1.0,32.0,649.0,1.0,32.0,650.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Quasi Sconfitta,,,,,,,,,,,,,,,,,,
Craster,1,28,46,662,891,0,0,1,0,0,4,0,0,12,0,0,57,0.0,0.0,148.0,0.0,5.0,284.0,2.0,21.0,444.0,4.0,58.0,494.0,11.0,123.0,481.0,17.0,220.0,421.0,24.0,309.0,346.0,31.0,389.0,272.0,34.0,468.0,196.0,37.0,516.0,149.0,39.0,546.0,119.0,40.0,579.0,89.0,44.0,603.0,61.0,45.0,617.0,46.0,45.0,635.0,28.0,46.0,647.0,15.0,46.0,651.0,11.0,46.0,653.0,9.0,46.0,656.0,6.0,46.0,659.0,3.0,46.0,660.0,2.0,46.0,661.0,1.0,46.0,661.0,1.0,46.0,661.0,1.0,46.0,662.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Belaquo,1,36,44,654,901,0,0,1,0,0,2,0,0,3,0,0,6,0.0,1.0,21.0,0.0,3.0,65.0,0.0,4.0,205.0,0.0,12.0,386.0,0.0,27.0,502.0,2.0,75.0,518.0,5.0,167.0,470.0,14.0,270.0,378.0,23.0,353.0,302.0,31.0,425.0,232.0,36.0,491.0,166.0,38.0,545.0,112.0,39.0,581.0,77.0,40.0,593.0,65.0,42.0,605.0,51.0,43.0,621.0,34.0,43.0,628.0,27.0,43.0,634.0,21.0,43.0,639.0,16.0,43.0,645.0,10.0,43.0,648.0,7.0,43.0,651.0,4.0,43.0,653.0,2.0,43.0,653.0,2.0,43.0,653.0,2.0,43.0,653.0,2.0,43.0,653.0,2.0,43.0,653.0,2.0,44.0,653.0,1.0,44.0,653.0,1.0,44.0,653.0,1.0,44.0,653.0,1.0,44.0,654.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Goghor-the-Giant,1,28,35,651,864,0,0,1,0,0,1,0,0,2,0,0,2,0.0,1.0,2.0,0.0,1.0,8.0,0.0,1.0,20.0,1.0,1.0,108.0,1.0,1.0,254.0,1.0,11.0,406.0,5.0,38.0,490.0,6.0,99.0,500.0,12.0,199.0,426.0,17.0,299.0,343.0,19.0,393.0,259.0,23.0,468.0,185.0,25.0,514.0,141.0,29.0,556.0,96.0,33.0,581.0,71.0,33.0,606.0,47.0,34.0,623.0,29.0,35.0,628.0,23.0,35.0,635.0,16.0,35.0,639.0,12.0,35.0,644.0,7.0,35.0,647.0,4.0,35.0,650.0,1.0,35.0,650.0,1.0,35.0,651.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Quasi Sconfitta,,,,,,,,,,,,,,,,,,
Irri,1,29,49,662,929,0,0,1,0,0,3,0,0,22,0,1,48,0.0,1.0,117.0,0.0,5.0,250.0,0.0,18.0,410.0,0.0,45.0,496.0,8.0,113.0,501.0,12.0,206.0,438.0,20.0,301.0,355.0,27.0,374.0,289.0,34.0,450.0,212.0,36.0,501.0,162.0,38.0,545.0,120.0,41.0,579.0,86.0,43.0,600.0,64.0,43.0,621.0,47.0,44.0,631.0,36.0,45.0,640.0,26.0,46.0,647.0,18.0,47.0,649.0,15.0,48.0,655.0,8.0,48.0,658.0,5.0,48.0,659.0,4.0,49.0,660.0,2.0,49.0,660.0,2.0,49.0,660.0,2.0,49.0,661.0,1.0,49.0,662.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Spotted-Cat,1,31,53,653,923,0,0,1,0,0,3,0,0,23,0,0,56,0.0,3.0,143.0,0.0,8.0,312.0,1.0,24.0,462.0,4.0,57.0,522.0,13.0,141.0,483.0,25.0,246.0,399.0,30.0,328.0,328.0,36.0,411.0,247.0,39.0,466.0,195.0,44.0,518.0,140.0,47.0,565.0,93.0,48.0,585.0,73.0,50.0,614.0,42.0,51.0,629.0,26.0,51.0,634.0,21.0,51.0,640.0,15.0,51.0,643.0,12.0,51.0,645.0,10.0,52.0,647.0,7.0,52.0,649.0,5.0,52.0,650.0,4.0,53.0,650.0,3.0,53.0,652.0,1.0,53.0,652.0,1.0,53.0,652.0,1.0,53.0,652.0,1.0,53.0,652.0,1.0,53.0,653.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Oznak-zo-Pahl,1,32,48,658,903,0,0,1,0,0,1,0,0,1,0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,2.0,20.0,0.0,2.0,59.0,0.0,2.0,210.0,0.0,6.0,400.0,1.0,21.0,517.0,8.0,73.0,535.0,15.0,172.0,461.0,22.0,287.0,364.0,29.0,377.0,281.0,34.0,455.0,206.0,39.0,506.0,153.0,42.0,554.0,109.0,44.0,584.0,77.0,45.0,603.0,57.0,45.0,620.0,41.0,46.0,629.0,31.0,46.0,641.0,19.0,47.0,646.0,13.0,47.0,653.0,6.0,47.0,655.0,4.0,47.0,655.0,4.0,48.0,657.0,1.0,48.0,657.0,1.0,48.0,657.0,1.0,48.0,657.0,1.0,48.0,658.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Ben-Bones,1,7,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Kasporio,1,28,44,652,905,0,0,1,0,0,2,0,0,5,0,0,35,0.0,1.0,163.0,0.0,2.0,345.0,0.0,12.0,458.0,2.0,62.0,501.0,10.0,132.0,479.0,18.0,227.0,404.0,25.0,322.0,321.0,29.0,409.0,243.0,31.0,472.0,185.0,37.0,524.0,130.0,39.0,558.0,96.0,40.0,586.0,68.0,40.0,609.0,45.0,40.0,621.0,33.0,41.0,634.0,21.0,43.0,638.0,15.0,43.0,641.0,12.0,43.0,646.0,7.0,44.0,647.0,5.0,44.0,648.0,4.0,44.0,649.0,3.0,44.0,651.0,1.0,44.0,651.0,1.0,44.0,651.0,1.0,44.0,652.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Penny,1,27,40,671,897,0,0,1,0,0,4,0,0,15,0,0,73,0.0,4.0,221.0,0.0,8.0,393.0,3.0,30.0,496.0,10.0,88.0,509.0,16.0,173.0,456.0,21.0,276.0,375.0,25.0,367.0,293.0,29.0,442.0,223.0,33.0,489.0,180.0,33.0,543.0,128.0,35.0,580.0,89.0,36.0,611.0,59.0,37.0,624.0,48.0,38.0,635.0,37.0,38.0,640.0,33.0,38.0,646.0,27.0,38.0,655.0,18.0,39.0,658.0,14.0,40.0,663.0,8.0,40.0,667.0,4.0,40.0,669.0,2.0,40.0,670.0,1.0,40.0,670.0,1.0,40.0,671.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Tybero-Istarion,1,23,46,631,871,0,0,1,0,0,2,0,0,28,0,0,118,0.0,2.0,282.0,0.0,13.0,416.0,3.0,42.0,490.0,8.0,127.0,464.0,15.0,207.0,411.0,18.0,308.0,326.0,28.0,396.0,243.0,37.0,451.0,185.0,41.0,503.0,130.0,42.0,547.0,85.0,43.0,570.0,63.0,45.0,592.0,39.0,45.0,601.0,30.0,45.0,609.0,23.0,45.0,616.0,16.0,45.0,620.0,12.0,46.0,626.0,5.0,46.0,628.0,3.0,46.0,630.0,1.0,46.0,631.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Benerro,1,27,46,660,853,0,0,1,0,0,1,0,0,2,0,1,20,0.0,1.0,90.0,0.0,1.0,278.0,1.0,6.0,446.0,3.0,23.0,545.0,12.0,100.0,518.0,17.0,201.0,445.0,23.0,304.0,354.0,32.0,382.0,276.0,33.0,473.0,192.0,37.0,519.0,144.0,39.0,560.0,103.0,39.0,586.0,81.0,39.0,607.0,60.0,42.0,620.0,44.0,42.0,635.0,29.0,43.0,641.0,22.0,44.0,649.0,13.0,45.0,656.0,5.0,45.0,658.0,3.0,45.0,659.0,2.0,45.0,660.0,1.0,45.0,660.0,1.0,45.0,660.0,1.0,46.0,660.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Moqorro,1,26,55,675,945,0,0,1,0,0,3,0,0,34,0,0,132,0.0,0.0,319.0,0.0,11.0,454.0,3.0,48.0,516.0,8.0,106.0,512.0,22.0,197.0,449.0,26.0,304.0,371.0,33.0,382.0,301.0,38.0,446.0,238.0,45.0,506.0,172.0,47.0,559.0,119.0,51.0,598.0,78.0,52.0,623.0,53.0,53.0,634.0,41.0,53.0,647.0,28.0,55.0,657.0,18.0,55.0,663.0,12.0,55.0,667.0,8.0,55.0,669.0,6.0,55.0,671.0,4.0,55.0,672.0,3.0,55.0,673.0,2.0,55.0,674.0,1.0,55.0,675.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Benethon-Scales,1,23,34,646,897,0,0,1,0,0,2,0,0,4,0,0,33,0.0,0.0,113.0,0.0,1.0,275.0,1.0,10.0,410.0,4.0,30.0,491.0,10.0,104.0,478.0,13.0,206.0,409.0,19.0,288.0,340.0,23.0,379.0,260.0,26.0,458.0,187.0,28.0,503.0,144.0,31.0,542.0,103.0,31.0,573.0,74.0,31.0,600.0,47.0,31.0,619.0,29.0,31.0,631.0,18.0,32.0,633.0,15.0,32.0,638.0,10.0,32.0,640.0,8.0,33.0,644.0,3.0,34.0,646.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Quasi Sconfitta,,,,,,,,,,,,,,,,,,
Narbert-Grandison,1,27,40,659,884,0,0,1,0,0,2,0,0,2,0,0,4,1.0,0.0,6.0,1.0,0.0,26.0,1.0,0.0,88.0,1.0,3.0,242.0,1.0,10.0,413.0,4.0,25.0,513.0,6.0,84.0,523.0,19.0,174.0,455.0,27.0,288.0,354.0,28.0,383.0,274.0,31.0,445.0,216.0,34.0,517.0,145.0,37.0,552.0,108.0,38.0,589.0,72.0,39.0,611.0,49.0,39.0,625.0,35.0,39.0,638.0,22.0,40.0,645.0,14.0,40.0,650.0,9.0,40.0,650.0,9.0,40.0,655.0,4.0,40.0,656.0,3.0,40.0,658.0,1.0,40.0,659.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Benfred-Tallhart,1,29,47,647,871,0,0,1,0,0,2,0,0,2,0,0,3,0.0,0.0,10.0,0.0,1.0,53.0,0.0,1.0,175.0,0.0,2.0,355.0,2.0,20.0,464.0,4.0,55.0,509.0,11.0,130.0,484.0,20.0,239.0,394.0,24.0,331.0,315.0,30.0,401.0,252.0,33.0,455.0,202.0,36.0,504.0,153.0,38.0,548.0,108.0,40.0,577.0,77.0,42.0,596.0,56.0,43.0,612.0,39.0,43.0,624.0,27.0,44.0,634.0,16.0,44.0,642.0,8.0,44.0,644.0,6.0,45.0,645.0,4.0,45.0,646.0,3.0,46.0,646.0,2.0,46.0,646.0,2.0,46.0,647.0,1.0,47.0,647.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Helman-Tallhart,1,35,42,675,928,0,0,1,0,0,2,0,0,4,0,0,19,0.0,0.0,102.0,0.0,1.0,272.0,0.0,6.0,447.0,1.0,34.0,510.0,7.0,104.0,504.0,11.0,210.0,431.0,18.0,301.0,358.0,23.0,382.0,290.0,25.0,439.0,237.0,32.0,496.0,176.0,33.0,548.0,127.0,34.0,587.0,90.0,36.0,608.0,70.0,37.0,625.0,54.0,37.0,644.0,35.0,38.0,654.0,24.0,38.0,657.0,21.0,40.0,662.0,14.0,40.0,667.0,10.0,40.0,669.0,8.0,40.0,670.0,7.0,41.0,673.0,3.0,41.0,673.0,3.0,42.0,674.0,1.0,42.0,674.0,1.0,42.0,674.0,1.0,42.0,674.0,1.0,42.0,674.0,1.0,42.0,674.0,1.0,42.0,674.0,1.0,42.0,674.0,1.0,42.0,675.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Leobald-Tallhart,1,5,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Stygg,1,31,52,664,896,0,0,1,0,0,2,0,0,2,0,0,3,0.0,0.0,13.0,0.0,1.0,53.0,0.0,2.0,193.0,1.0,5.0,363.0,4.0,15.0,493.0,6.0,62.0,534.0,12.0,153.0,476.0,21.0,262.0,382.0,28.0,352.0,299.0,31.0,425.0,234.0,35.0,496.0,170.0,39.0,537.0,131.0,41.0,564.0,104.0,47.0,588.0,77.0,48.0,610.0,55.0,50.0,625.0,40.0,51.0,635.0,29.0,51.0,639.0,25.0,52.0,644.0,19.0,52.0,649.0,15.0,52.0,652.0,12.0,52.0,656.0,8.0,52.0,658.0,6.0,52.0,661.0,3.0,52.0,663.0,1.0,52.0,663.0,1.0,52.0,663.0,1.0,52.0,664.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Jaremy-Rykker,1,25,34,669,895,0,0,1,0,0,2,0,0,7,0,0,74,0.0,0.0,239.0,0.0,2.0,415.0,2.0,32.0,509.0,3.0,98.0,524.0,8.0,205.0,457.0,16.0,303.0,371.0,21.0,402.0,274.0,23.0,472.0,205.0,27.0,526.0,148.0,32.0,562.0,108.0,32.0,589.0,82.0,32.0,614.0,57.0,33.0,629.0,41.0,34.0,646.0,23.0,34.0,648.0,21.0,34.0,660.0,9.0,34.0,665.0,4.0,34.0,665.0,4.0,34.0,667.0,2.0,34.0,668.0,1.0,34.0,668.0,1.0,34.0,669.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Quasi Sconfitta,,,,,,,,,,,,,,,,,,
Luwin,1,28,41,672,917,0,0,1,0,0,9,0,0,42,1,0,188,1.0,2.0,371.0,2.0,11.0,465.0,6.0,64.0,487.0,9.0,171.0,446.0,17.0,249.0,399.0,21.0,343.0,321.0,24.0,415.0,260.0,28.0,477.0,202.0,35.0,527.0,148.0,38.0,562.0,110.0,38.0,591.0,82.0,38.0,621.0,53.0,40.0,641.0,32.0,40.0,650.0,23.0,40.0,661.0,12.0,41.0,664.0,8.0,41.0,667.0,5.0,41.0,667.0,5.0,41.0,669.0,3.0,41.0,670.0,2.0,41.0,670.0,2.0,41.0,671.0,1.0,41.0,671.0,1.0,41.0,671.0,1.0,41.0,672.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Waymar-Royce,1,8,0,2,2,0,0,1,0,0,1,0,0,2,0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Jack-Bulwer,1,27,48,648,887,0,0,1,0,0,2,0,0,3,0,0,31,0.0,1.0,116.0,0.0,2.0,298.0,0.0,12.0,424.0,2.0,46.0,497.0,3.0,150.0,458.0,11.0,240.0,405.0,18.0,331.0,330.0,25.0,397.0,265.0,36.0,453.0,200.0,43.0,512.0,137.0,46.0,542.0,105.0,46.0,572.0,77.0,46.0,608.0,42.0,46.0,623.0,27.0,46.0,633.0,17.0,46.0,639.0,11.0,46.0,640.0,10.0,47.0,642.0,7.0,47.0,645.0,4.0,48.0,645.0,3.0,48.0,645.0,3.0,48.0,646.0,2.0,48.0,647.0,1.0,48.0,648.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Mariya-Darry,1,29,51,648,875,0,0,1,0,0,1,0,0,2,0,0,5,0.0,1.0,34.0,0.0,2.0,97.0,0.0,3.0,252.0,0.0,9.0,407.0,1.0,33.0,498.0,5.0,99.0,495.0,17.0,188.0,434.0,31.0,281.0,354.0,37.0,362.0,282.0,39.0,429.0,222.0,40.0,489.0,164.0,42.0,527.0,127.0,44.0,566.0,88.0,45.0,588.0,65.0,47.0,605.0,46.0,49.0,610.0,39.0,50.0,628.0,21.0,50.0,634.0,15.0,50.0,640.0,9.0,50.0,643.0,6.0,50.0,645.0,4.0,50.0,646.0,3.0,50.0,646.0,3.0,51.0,646.0,2.0,51.0,647.0,1.0,51.0,648.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Beth-Cassel,1,31,38,656,898,0,0,1,0,0,3,0,0,19,0,0,86,0.0,0.0,236.0,0.0,4.0,422.0,3.0,26.0,502.0,7.0,93.0,502.0,13.0,190.0,444.0,18.0,277.0,370.0,22.0,376.0,278.0,27.0,452.0,204.0,29.0,499.0,159.0,32.0,552.0,107.0,33.0,582.0,79.0,36.0,595.0,63.0,37.0,611.0,46.0,37.0,623.0,34.0,37.0,637.0,20.0,37.0,641.0,16.0,38.0,646.0,10.0,38.0,649.0,7.0,38.0,651.0,5.0,38.0,652.0,4.0,38.0,654.0,2.0,38.0,654.0,2.0,38.0,654.0,2.0,38.0,654.0,2.0,38.0,655.0,1.0,38.0,655.0,1.0,38.0,655.0,1.0,38.0,656.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Quasi Sconfitta,,,,,,,,,,,,,,,,,,
Big-Boil,1,25,45,677,941,0,0,1,0,0,2,0,0,5,0,0,35,0.0,1.0,131.0,0.0,2.0,324.0,2.0,15.0,459.0,3.0,48.0,514.0,8.0,126.0,502.0,16.0,242.0,411.0,22.0,323.0,343.0,28.0,410.0,264.0,29.0,469.0,212.0,34.0,526.0,155.0,36.0,575.0,108.0,38.0,601.0,81.0,41.0,615.0,65.0,43.0,638.0,40.0,45.0,650.0,27.0,45.0,662.0,15.0,45.0,665.0,12.0,45.0,666.0,11.0,45.0,671.0,6.0,45.0,674.0,3.0,45.0,674.0,3.0,45.0,677.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Black-Balaq,1,3,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Blane,1,3,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Blue-Bard,1,26,41,671,896,0,0,1,0,0,2,0,0,30,0,0,125,0.0,0.0,293.0,0.0,8.0,433.0,1.0,39.0,520.0,6.0,122.0,489.0,12.0,214.0,439.0,18.0,312.0,356.0,22.0,388.0,288.0,26.0,463.0,213.0,29.0,518.0,159.0,34.0,559.0,116.0,35.0,591.0,83.0,35.0,611.0,63.0,38.0,632.0,42.0,39.0,650.0,23.0,39.0,656.0,17.0,40.0,660.0,12.0,41.0,663.0,8.0,41.0,667.0,4.0,41.0,668.0,3.0,41.0,669.0,2.0,41.0,670.0,1.0,41.0,670.0,1.0,41.0,671.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Lambert-Turnberry,1,32,46,630,892,0,0,1,0,0,1,0,0,1,0,0,1,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,1.0,10.0,0.0,2.0,88.0,0.0,3.0,241.0,0.0,6.0,403.0,2.0,27.0,502.0,9.0,77.0,505.0,16.0,177.0,434.0,23.0,279.0,345.0,26.0,345.0,291.0,31.0,420.0,217.0,35.0,480.0,155.0,38.0,518.0,117.0,42.0,542.0,90.0,43.0,558.0,74.0,44.0,581.0,50.0,45.0,601.0,29.0,45.0,611.0,20.0,45.0,614.0,17.0,45.0,619.0,12.0,45.0,623.0,8.0,46.0,627.0,3.0,46.0,629.0,1.0,46.0,629.0,1.0,46.0,629.0,1.0,46.0,629.0,1.0,46.0,630.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Qyburn,1,29,46,666,885,0,0,1,0,0,5,0,0,50,0,1,215,0.0,3.0,420.0,2.0,16.0,511.0,5.0,70.0,532.0,15.0,186.0,457.0,22.0,293.0,369.0,26.0,363.0,307.0,32.0,443.0,228.0,37.0,517.0,153.0,40.0,556.0,114.0,43.0,590.0,78.0,43.0,616.0,52.0,44.0,629.0,39.0,46.0,644.0,22.0,46.0,650.0,16.0,46.0,653.0,13.0,46.0,658.0,8.0,46.0,660.0,6.0,46.0,663.0,3.0,46.0,663.0,3.0,46.0,663.0,3.0,46.0,663.0,3.0,46.0,663.0,3.0,46.0,663.0,3.0,46.0,664.0,2.0,46.0,665.0,1.0,46.0,666.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
